model_a,model_b,n_datasets,cka_mean,cka_std,cosine_mean,cosine_std,procrustes_mean,procrustes_std
carte,hyperfast,51,0.16474075559235246,0.14088260847974288,0.014680899880534294,0.22615855320628428,1.1406377811057895,0.14013131492734468
carte,mitra,50,0.4450406058280399,0.23299963796731532,0.21396209258586169,0.3126663060234528,0.9063165676593781,0.16616887707103542
carte,tabdpt,51,0.43708602518391954,0.22923033557747138,0.17025962871426314,0.2666434191844241,0.9749115927546632,0.15021615608012512
carte,tabicl,51,0.37497729910831235,0.19960201133496203,0.11608582147050138,0.257127644542305,1.0036353702638663,0.1448550526606364
carte,tabpfn,51,0.4242353770968952,0.21233733170559793,0.19306829761640698,0.2924055647173744,0.9487159953397863,0.15949864194926788
hyperfast,mitra,50,0.2768472316219119,0.21502702906286547,0.02973493417724967,0.23179774974218478,1.012361274957657,0.18544891964437024
hyperfast,tabdpt,51,0.2662309848191743,0.18049907670690502,0.02758272543239097,0.1743827936716002,1.009867277799868,0.18109136917601448
hyperfast,tabicl,51,0.26165382149855715,0.18893063891111816,0.012145191741486391,0.18980977677205352,1.0425673407666824,0.16313975822180452
hyperfast,tabpfn,51,0.2245061125752331,0.165634725024352,0.0023707942900193088,0.183531968631513,1.0643835991036659,0.1483982400023314
mitra,tabdpt,50,0.8226539009211439,0.13880243490092725,0.3566823050752282,0.2431242663453836,0.571375829577446,0.1422849018256721
mitra,tabicl,50,0.6549273960861658,0.19404975738117766,0.009135378999635577,0.026592981011609514,0.6685542684793472,0.1582865582000237
mitra,tabpfn,50,0.7885519675382296,0.14419919072654336,0.3447225263342261,0.2763052623526099,0.570241476893425,0.14307467309336347
tabdpt,tabicl,51,0.6381032741907435,0.1633511927669356,0.1865215564520993,0.2241852596403336,0.6379428453305188,0.09734917497186009
tabdpt,tabpfn,51,0.7567648217358256,0.1521280871049477,0.2631985705126734,0.2735120823035049,0.6373083942076739,0.13386144776986011
tabicl,tabpfn,51,0.6149236172952893,0.17786593988751193,0.19417332222356515,0.260211961649143,0.7041367356683693,0.13297892753931975
